Difficulty,Term,Clue/Description
Easy,KERNEL,The control module of the operating system that loads at boot and remains in memory.
Easy,PROCESS,A program in the execution phase containing the address space and resources.
Easy,THREAD,The smallest sequence of programming instructions that can be managed independently by a scheduler.
Easy,BOOTING,The process of loading the operating system from the hard disk to the main memory when the computer is switched on.
Easy,SHELL,A program users interact with often text-based which is not part of the kernel but uses the OS to get work done.
Easy,FILE,A logical unit of information created by processes to abstract the details of storage.
Easy,DRIVER,A piece of software that deals with hardware and provides an interface to read and write to it.
Easy,BUS,"A set of wires and protocols connecting the CPU, memory, and I/O devices."
Easy,CACHE,A collection of data blocks kept in fast memory for performance reasons to reduce access time.
Easy,VIRUS,Malware that infects computers by injecting itself into other executable files.
Easy,WORM,Self-propelled malware that propagates regardless of what the user does.
Easy,SERVER,"A computer providing services such as printing, file storage, or Web pages to multiple users."
Easy,CLIENT,A process that sends requests to a server to get work done.
Easy,USER,The human being interacting with the computer system.
Easy,CLOCK,Hardware that generates interrupts at known intervals to maintain time.
Easy,PORT,A connection point used to connect devices with the computer.
Easy,TRAP,A signal generated by the CPU upon detecting errors or specific conditions like system calls.
Easy,QUEUE,A data structure that stores data items in a first-in/first-out manner.
Easy,PAGE,A fixed-size unit of the virtual address space.
Easy,FRAME,A fixed-size block of physical memory used in paging.
Medium,SEMAPHORE,An integer variable accessed only through atomic operations used for synchronization.
Medium,MUTEX,A binary semaphore used to provide mutual exclusion for critical regions.
Medium,DEADLOCK,A situation where processes are blocked forever because they are waiting for resources held by each other.
Medium,PAGING,A memory management technique where logical address space is divided into fixed-size blocks.
Medium,SWAPPING,The process of moving a program from main memory to disk and back again.
Medium,INTERRUPT,A signal sent to the CPU to halt current activities and execute appropriate OS functions.
Medium,SCHEDULER,The part of the operating system that decides which process runs next.
Medium,HYPERVISOR,Software that creates the illusion of multiple virtual machines on the same physical hardware.
Medium,THROUGHPUT,The total number of processes that get completed per unit of time.
Medium,FRAGMENT,Wasted memory space that occurs internally within partitions or externally between them.
Medium,DAEMON,"A background process that handles specific functions like email, printing, or web pages."
Medium,SPOOLING,"Buffering data for devices that cannot support interleaved data streams, such as printers."
Medium,SOCKET,An interface acting as a pipeline connecting two networked entities.
Medium,CONTEXT,The state of the CPU registers and memory maps that must be saved during a switch.
Medium,BINDER,The IPC architecture used in Android based on the Remote Procedure Call model.
Hard,MULTIPROGRAMMING,Switching the CPU rapidly between processes to give the illusion of parallelism.
Hard,MONOLITHIC,An architecture where the entire operating system runs as a single program in kernel mode.
Hard,MICROKERNEL,An architecture formed by removing all non-essential components from the kernel.
Hard,VIRTUALIZATION,The technique of simulating a computer with high performance to run multiple systems at once.
Hard,THRASHING,A state where the system spends more time handling page faults than executing actual instructions.
Hard,IDEMPOTENT,"An operation that can be repeated as often as needed without harm, crucial for log-based recovery."
Hard,PARAVIRTUALIZATION,A technique modifying the guest OS source code to execute hypercalls instead of sensitive instructions.
Hard,SEGMENTATION,"A memory management technique dividing memory into logical, variable-sized chunks like arrays or stacks."
Hard,MIDDLEWARE,A layer of software on top of the OS providing consistency in distributed systems.
Hard,STARVATION,A situation where a low-priority process never gets the chance to execute because high-priority processes keep arriving.
